ILCE,KAPINO,ENLEM,ACIKLAMA,ILCEID,MAHALLE,MAHALLEID,ADI,BOYLAM,YOL,dist_m,risk_band
URLA,,38.322870311274,3529-032-01,18,HACI İSA,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,26.767083966261,BÜLENT BARATLI BULVARI VE ZAFER CADDESİ KESİŞİMİ,1489.394598353941,Düşük
TİRE,,37.991697761806,3527-061-01,997,KÜÇÜKBURUN,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.789847626985,KÜÇÜKBURUN MAH. MEYDANI - KÜÇÜKBURUN OKUL SOKAK,11544.392464037266,Güvenli
TİRE,,38.110951793628,3527-055-01,997,KIRTEPE,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.887444236343,KIRTEPE MAH. MEYDANI - KÖY MEYDANI SOKAK,1090.9222399702612,Düşük
TİRE,,37.981088449949,3527-030-01,997,DİBEKÇİ,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.814181514736,MERKEZ SOKAK,12673.301176277975,Güvenli
TİRE,,38.062158488536,3527-026-01,997,DALLIK,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.799020312894,DALLIK CUMHURİYET SOKAK,3686.9960029997364,Düşük
TİRE,,38.002410196303,3527-025-01,997,DAĞDERE,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.75095952231,ORTA SOKAK,10718.98933769475,Güvenli
TİRE,,37.977026173495,3527-021-01,997,ÇERİKÖZÜ,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.795499345743,PINARBAŞI SOKAK,13137.225577836589,Güvenli
MENEMEN,,38.539886997379,3522-005-01,17,9 EYLÜL,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.036235085357,251,2661.7666300173432,Düşük
KARŞIYAKA,,38.458448261623,3516-002-01,20,ALAYBEY,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.123165255952,METİN ALTIOK,2458.6812234259924,Düşük
SELÇUK,,37.954453527227,3526-013-01,10,ZAFER,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.37435466966,3016 SOKAK VE 3026 SOKAK ARASI,2611.089229599318,Düşük
SELÇUK,,37.882495789749,3526-011-01,10,SULTANİYE,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.335784814507,SULTANİYE MAH. MEYDANI - EYİCE SOKAK,6861.754548395372,Güvenli
