ILCE;KAPINO;ENLEM;ACIKLAMA;ILCEID;MAHALLE;MAHALLEID;ADI;BOYLAM;YOL
ALİAĞA;;38.922753601097;3502-001-01;3;AŞAĞIŞAKRAN;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.096573282332;AŞAĞIŞAKRAN
BAYRAKLI;;38.461428022864;3530-004-01;11;BAYRAKLI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.168658719752;NUR SULTAN NAZAR BAYEV
TORBALI;;38.249012470222;3528-017-01;9;DAĞTEKE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.509297365903;6233
MENEMEN;;38.606324309115;3522-041-01;17;KARAORMAN;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.231527685518;KARAORMAN
ÇİĞLİ;;38.534996519975;3510-016-01;16;HARMANDALI GAZİ MUSTAFA KEMAL ATATÜRK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.050502180999;9 EYLÜL
KARABAĞLAR;;38.309365589758;3531-030-01;19;KAVACIK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.959181025284;10022
DİKİLİ;;38.957560651819;3511-029-01;995;YAYLAYURT;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.920587554585;YAYLAYURT CUMHURİYET
ÇİĞLİ;;38.49455872612;3510-002-01;16;AHMET TANER KIŞLALI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.090009138357;6794/2
KARŞIYAKA;;38.476371698224;3516-014-01;20;İMBATLI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.104619675448;6086
KARŞIYAKA;;38.472149103011;3516-012-01;20;FİKRİ ALTAY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.103172148531;6184/3
BAYRAKLI;;38.470024977724;3530-003-01;11;ALPASLAN;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.167507710678;1620/6
KARŞIYAKA;;38.474765900163;3516-022-01;20;ŞEMİKLER;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.091474112178;6295/1
KARŞIYAKA;;38.471176147813;3516-010-01;20;DEMİRKÖPRÜ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.099352062593;6182
SEFERİHİSAR;;38.284547701299;3525-006-01;12;ÇAMTEPE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.941879155413;ÇAMTEPE KÖY YOLU
BAYRAKLI;;38.494912842337;3530-008-01;11;DOĞANÇAY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.160481703819;7194/11
MENDERES;;38.292024862287;3521-004-01;13;ATA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.131441190492;AHMET TANER KIŞLALI
BAYRAKLI;;38.468333935382;3530-009-01;11;EMEK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.118731956024;ŞEHİT ASTEĞMEN MESUT UZLU
ALİAĞA;;38.833683027961;3502-009-01;3;ÇORAKLAR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.077011533382;ÇORAKLAR MERCAN
ALİAĞA;;38.852894885899;3502-007-01;3;ÇALTILIDERE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.034587707136;ÇALTILIDERE CAMİ
BALÇOVA;;38.3893322707;3503-007-01;14;ONUR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.049785434803;YEŞİL CAMİİ
MENDERES;95;38.071050104333;3521-009-01;13;ÇAKALTEPE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.211067155488;ÇAKALTEPE
SEFERİHİSAR;;38.199983869635;3525-007-01;12;ÇOLAK İBRAHİM BEY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.834986011159;FEVZİ ÇAKMAK
MENDERES;40;38.25566747202;3521-034-03;13;KEMALPAŞA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.135969880483;İNÖNÜ
SEFERİHİSAR;;38.078447716141;3525-014-01;12;MERSİN ALANI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.973484068967;ÜRKMEZ
ÇEŞME;;38.274760316314;3509-017-01;1001;KARAKÖY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.484551467611;KARAKÖY MAH. KÖYİÇİ YOLU
URLA;;38.283667804474;3529-037-01;18;ZEYTİNLER;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.56150483341;MUSTAFA ERCAN
BAYINDIR;;38.222813676573;3504-024-01;7;HACI BEŞİR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.652449341475;PAŞA ÇEŞME
BERGAMA;;38.940801802649;3505-084-01;999;KIZILTEPE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.133301294141;KIZILTEPE
KARABAĞLAR;;38.394398776094;3531-002-01;19;ADNAN SÜVARİ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.096458121065;108/24
KARABAĞLAR;;38.393265745625;3531-021-01;19;ESENYALI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.08928086862;52/72
KONAK;;38.398052261052;3520-043-01;21;GÜZELYALI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.083259251961;MİTHATPAŞA
KARABAĞLAR;;38.388211768533;3531-020-01;19;ESENTEPE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.075019117804;46/24
KARABAĞLAR;;38.394532065177;3531-053-01;19;ÜÇKUYULAR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.072909395373;12/1
BALÇOVA;;38.396122247586;3503-003-01;14;EĞİTİM;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.06133236473;GAZİ OSMAN PAŞA
BALÇOVA;;38.389475257759;3503-006-01;14;KORUTÜRK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.038132492472;V. HÜSEYİN ÖĞÜTÇEN
BALÇOVA;;38.395213230855;3503-005-01;14;İNCİRALTI;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.040385471391;MİTHATPAŞA
BAYRAKLI;;38.475946110774;3530-018-08;11;OSMANGAZİ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.185357110295;592/18
KARŞIYAKA;;38.458158248483;3516-024-01;20;TUNA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.116662423147;1671
MENEMEN;;38.65456598783;3522-062-01;17;YANIKKÖY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.081695820079;NEHİR
MENEMEN;;38.619695398181;3522-011-01;17;BAĞCILAR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.200964816537;BAĞCILAR
GÜZELBAHÇE;;38.333336787752;3514-005-01;1;KÜÇÜKKAYA;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.896410153946;ESKİ KÜÇÜKKAYA
KINIK;;38.962725153762;3518-030-01;996;ÖRTÜLÜ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.346964360582;ÖRTÜLÜ MAH. MEYDANI - ÇARŞI SOKAK
BERGAMA;;39.113120735305;3505-092-01;999;MALTEPE;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.174501573846;ATATÜRK
KARABAĞLAR;;38.358528463095;3531-055-01;19;YAŞAR KEMAL;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.080572333421;6000 SOKAK VE 6001 SOKAK ARASI YEŞİL ALAN
ÖDEMİŞ;;38.078626682351;3524-006-01;998;BADEMLİ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;28.056745025468;YENİ KAHVE SOKAK
BUCA;;38.371423493728;3508-045-01;8;YILDIZ;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.173473846422;242/26
KARABAĞLAR;;38.392376327286;3531-031-01;19;KAZIM KARABEKİR;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.118598085348;KAZIM KARABEKİR PARKI - SAİM ÇIKRIKÇI CAD. VE 9009/1 SOKAK KESİŞİMİ
KARABAĞLAR;;38.396724248243;3531-022-01;19;FAHRETTİN ALTAY;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.064549347547;65/21
BALÇOVA;;38.384402304494;3503-008-01;14;TELEFERİK;;1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;27.057011406338;ENVERPAŞA
